property,plan,roomType,beds,baths,sqFt,minPrice,maxPrice,availability,url,imagePath,pros,cons,dataWarning
The Block (various locations),25th E: 2 Bed - 2 Bath D Premium Shared Bedroom,2 Bed / 2 Bath,2,2.0,1130,509,519,Limited Availability,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/dc21a9ba-ea80-4d7d-b1f0-d2d89b64c6e4/671-25th-East-2-Bed-2-Bath-D-Premium-Shared-ORIGINAL-01.png?width=660&height=446&ext=.png,"Private bathroom for every resident, Fully furnished, Budget-friendly rent (under $1,000/mo), Direct lease available",Shared bedroom (limited privacy),
The Block (various locations),25th E: 2 Bed - 2 Bath E Premium w/Loft Private Bedroom,2 Bed / 2 Bath,2,2.0,1270,1394,1414,Limited Availability,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/b0a0ccd1-4e88-4a36-802b-810f8289f0e5/671-25th-East-2-Bed-2-Bath-E-Premium-with-Loft-Private-ORIGINAL-01.png?width=660&height=446&ext=.png,"Private bathroom for every resident, Fully furnished, Direct lease available",,
The Block (various locations),25th E: 2 Bed - 2 Bath E Premium w/Loft Shared Bedroom,2 Bed / 2 Bath,2,2.0,1270,649,669,Limited Availability,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/b0a0ccd1-4e88-4a36-802b-810f8289f0e5/671-25th-East-2-Bed-2-Bath-E-Premium-with-Loft-Private-ORIGINAL-01?width=660&height=445&ext=.png,"Private bathroom for every resident, Fully furnished, Budget-friendly rent (under $1,000/mo), Direct lease available",Shared bedroom (limited privacy),
The Block (various locations),25th E: 3 Bed - 2 Bath Premium w/Loft Shared Bedroom,3 Bed / 2 Bath,3,2.0,1521,549,569,Waitlist,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/6ac4ba6f-2f9b-43dd-b821-c500d33099b8/671-25th-East-3-Bed-2-Bath-Premium-with-Loft-Shared-ORIGINAL-01?width=660&height=445&ext=.png,"Fully furnished, Budget-friendly rent (under $1,000/mo)","Shared bathroom (3 residents sharing 2 baths), Shared bedroom (limited privacy), Waitlist status (limited immediate spots)",
The Block (various locations),25th E: 3 Bed - 3 Bath A Premium Private Bedroom,3 Bed / 3 Bath,3,3.0,,1399,1419,Waitlist,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/bf7b998f-5ad0-47f9-84f0-75bacc692f56/671-25th-East-3-Bed-3-Bath-A-Premium-Private-Furnished.png?width=660&height=445&ext=.png,"Private bathroom for every resident, Fully furnished",Waitlist status (limited immediate spots),
The Block (various locations),25th E: 3 Bed - 3 Bath A Premium Shared Bedroom,3 Bed / 3 Bath,3,3.0,1485,464,504,Limited Availability,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/c28dbff0-abef-41f4-80a9-074c818af9c9/671-25th-East-3-Bed-3-Bath-A-Premium-Private-ORIGINAL-01?width=660&height=445&ext=.png,"Private bathroom for every resident, Fully furnished, Budget-friendly rent (under $1,000/mo), Direct lease available",Shared bedroom (limited privacy),
The Block (various locations),25th E: 3 Bed - 3 Bath A Premium w/Loft Private Bedroom,3 Bed / 3 Bath,3,3.0,,1419,1469,Waitlist,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/07da0fa3-e05d-4872-a551-645297d38d53/671-25th-E-3x3-A-Premium-Private-w-Loft_1.png?width=660&height=445&ext=.png,"Private bathroom for every resident, Fully furnished",Waitlist status (limited immediate spots),
The Block (various locations),25th E: 3 Bed - 3 Bath B Premium Private Bedroom,3 Bed / 3 Bath,3,3.0,,1259,1279,Limited Availability,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/f770c4d3-25d7-401a-b9bc-a4370bf39166/671-25th-East-3-Bed-3-Bath-B-Premium-Private-furnished.png?width=660&height=446&ext=.png,"Private bathroom for every resident, Fully furnished, Direct lease available",,
The Block (various locations),25th E: 4 Bed - 2 Bath A Premium Private Bedroom,4 Bed / 2 Bath,4,2.0,1692,804,814,Waitlist,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/0bcea636-9fce-4404-928b-a843e1ef1e8c/671-25th-East-4-Bed-2-Bath-A-Premium-Private-ORIGINAL-01?width=660&height=445&ext=.png,"Fully furnished, Budget-friendly rent (under $1,000/mo)","Shared bathroom (4 residents sharing 2 baths), Waitlist status (limited immediate spots)",
The Block (various locations),25th E: 4 Bed - 2 Bath B Premium w/Loft Private Bedroom,4 Bed / 2 Bath,4,2.0,1724,969,979,Waitlist,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/b24d63c0-e50d-4fee-add2-8912264b57a2/671-25th-East-4-Bed-2-Bath-B-Premium-with-Loft-Private-ORIGINAL-01?width=660&height=445&ext=.png,"Fully furnished, Budget-friendly rent (under $1,000/mo)","Shared bathroom (4 residents sharing 2 baths), Waitlist status (limited immediate spots)",
The Block (various locations),25th E: 4 Bed - 2 Bath C Premium w/Loft Shared Bedroom,4 Bed / 2 Bath,4,2.0,2100,629,639,Waitlist,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/0f966e24-eb5f-487e-8f77-a86efda2165b/671-25th-East-4-Bed-2-Bath-C-Premium-with-Loft-Shared-ORIGINAL-01.png?width=660&height=446&ext=.png,"Fully furnished, Budget-friendly rent (under $1,000/mo)","Shared bathroom (4 residents sharing 2 baths), Shared bedroom (limited privacy), Waitlist status (limited immediate spots)",
The Block (various locations),25th E: 4 Bed - 3 Bath A Premium Private Bedroom,4 Bed / 3 Bath,4,3.0,1692,949,989,Limited Availability,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/1f507109-019a-4e13-a8f9-817580639c8a/671-25th-East-4-Bed-3-Bath-A-Premium-Private-ORIGINAL-01.png?width=660&height=446&ext=.png,"Fully furnished, Budget-friendly rent (under $1,000/mo), Direct lease available",Shared bathroom (4 residents sharing 3 baths),
The Block (various locations),25th E: 4 Bed - 3 Bath B Premium Private Bedroom,4 Bed / 3 Bath,4,3.0,1752,959,999,Limited Availability,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/5330e644-2a6a-4775-961d-9391cb2e26bd/671-25th-East-4-Bed-3-Bath-B-Premium-Private-ORIGINAL-01?width=660&height=445&ext=.png,"Fully furnished, Budget-friendly rent (under $1,000/mo), Direct lease available",Shared bathroom (4 residents sharing 3 baths),
The Block (various locations),25th E: 4 Bed - 3 Bath C Premium Private Bedroom,4 Bed / 3 Bath,4,3.0,1924,1019,1049,Limited Availability,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/0a803644-4a50-42b2-aad2-6830ad88650f/671-25th-East-4-Bed-3-Bath-C-Premium-Private-ORIGINAL-01.png?width=660&height=446&ext=.png,"Fully furnished, Direct lease available",Shared bathroom (4 residents sharing 3 baths),
The Block (various locations),25th E: 4 Bed - 3 Bath D Premium w/Loft Private Bedroom,4 Bed / 3 Bath,4,3.0,1928,1024,1064,Limited Availability,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/ecf45ea8-71d9-40ea-89df-de37a395a376/671-25th-East-4-Bed-3-Bath-D-Premium-with-Loft-Private-ORIGINAL-01?width=660&height=445&ext=.png,"Fully furnished, Direct lease available",Shared bathroom (4 residents sharing 3 baths),
The Block (various locations),25th E: 4 Bed - 3 Bath E Premium,4 Bed / 3 Bath,4,3.0,2292,1114,1154,Waitlist,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/314fc8e3-cdcd-4e7f-b216-06f128edf33f/671-25th-East-4-Bed-3-Bath-E-Premium-01.png?width=660&height=446&ext=.png,Fully furnished,"Shared bathroom (4 residents sharing 3 baths), Waitlist status (limited immediate spots)",
The Block (various locations),25th E: 5 Bed - 3 Bath Premium w/Loft Shared Bedroom,5 Bed / 3 Bath,5,3.0,3140,594,604,Limited Availability,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/415826a8-8279-4c63-89e9-8e50b17c7f3b/671-25th-East-5-Bed-3-Bath-Premium-with-Loft-Shared-ORIGINAL-01?width=660&height=445&ext=.png,"Fully furnished, Budget-friendly rent (under $1,000/mo), Direct lease available","Shared bathroom (5 residents sharing 3 baths), Shared bedroom (limited privacy)",
The Block (various locations),25th E: 5 Bed - 4 Bath Premium Private Bedroom,5 Bed / 4 Bath,5,4.0,2495,984,1024,Limited Availability,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/d6a581ab-a557-49c1-bcf9-be1821231be7/671-25th-East-5-Bed-4-Bath-Premium-Private-ORIGINAL-01?width=660&height=445&ext=.png,"Fully furnished, Budget-friendly rent (under $1,000/mo), Direct lease available",Shared bathroom (5 residents sharing 4 baths),
